WORK_ORDER,TLA,CARTON_NO,PALLET_NO,CONTAINER_NO,SKU,MLB_PCBA,FATP_SN,NFC_UID,STM32_UUID,METAL_BASE,FF_TRACKING_NUMBER,SHIPPING_DATE,FATP_INPUT_DATETIME,ME_LINE_OUT_DATETIME,OQC_LINE_OUTPUT_DATETIME
BH-104282,88-0000861,HC4440032,PHC4440010,FEDEX#746390182310,COSMO,FK2439HCOS1GR035,FK2439HCOS1GR035,043b167ab91690000000,0023003B5830501620343353,NA,FEDEX#746390182310,2024-10-30 09:25:12,2024-10-04 16:41:04,2024-10-15 13:10:01,2024-10-30 09:20:24
BH-104282,88-0000861,HC4440031,PHC4440010,FEDEX#746390182310,COSMO,FK2439HCOS1GR059,FK2439HCOS1GR059,04c29e7ab91690000000,006500455830501720343353,NA,FEDEX#746390182310,2024-10-30 09:25:12,2024-10-04 16:10:23,2024-10-14 16:01:07,2024-10-30 09:20:24
BH-104282,88-0000861,HC4440031,PHC4440010,FEDEX#746390182310,COSMO,FK2439HCOS1GR063,FK2439HCOS1GR063,04c2797ab91690000000,005100445830501720343353,NA,FEDEX#746390182310,2024-10-30 09:25:12,2024-10-04 09:13:11,2024-10-12 14:46:46,2024-10-30 09:20:24
BH-104282,88-0000861,HC4440031,PHC4440010,FEDEX#746390182310,COSMO,FK2439HCOS1GR080,FK2439HCOS1GR080,04c1747ab91690000000,001E00435830501720343353,NA,FEDEX#746390182310,2024-10-30 09:25:12,2024-10-04 09:32:07,2024-10-12 16:11:56,2024-10-30 09:20:24
BH-104282,88-0000861,HC4440032,PHC4440010,FEDEX#746390182310,COSMO,FK2439HCOS1GR083,FK2439HCOS1GR083,043a797ab91690000000,0042003B5830501620343353,NA,FEDEX#746390182310,2024-10-30 09:25:12,2024-10-04 14:27:38,2024-10-15 13:18:26,2024-10-30 09:20:24
BH-104282,88-0000861,HC4440032,PHC4440010,FEDEX#746390182310,COSMO,FK2439HCOS1GR150,FK2439HCOS1GR150,045aa0f2a11390000000,0042003E5830501620343353,NA,FEDEX#746390182310,2024-10-30 09:25:12,2024-10-04 14:18:27,2024-10-15 13:23:29,2024-10-30 09:20:24
BH-104282,88-0000861,HC4440031,PHC4440010,FEDEX#746390182310,COSMO,FK2439HCOS1GR163,FK2439HCOS1GR163,04b87b7ab91690000000,0041003F5830501620343353,NA,FEDEX#746390182310,2024-10-30 09:25:12,2024-10-04 09:31:52,2024-10-12 15:26:04,2024-10-30 09:20:24
BH-104282,88-0000861,HC4440031,PHC4440010,FEDEX#746390182310,COSMO,FK2439HCOS1GR006,FK2439HCOS1GR006,045a67f2a11390000000,006B003F5830501620343353,NA,FEDEX#746390182310,2024-10-30 09:25:12,2024-10-04 16:48:19,2024-10-14 15:05:59,2024-10-30 09:20:24
BH-104282,88-0000861,HC4440032,PHC4440010,FEDEX#746390182310,COSMO,FK2439HCOS1GR013,FK2439HCOS1GR013,047c277ab91690000000,0026003C5830501620343353,NA,FEDEX#746390182310,2024-10-30 09:25:12,2024-10-04 16:40:56,2024-10-15 13:11:38,2024-10-30 09:20:24
BH-104282,88-0000861,HC4440030,PHC4440010,FEDEX#746390182310,COSMO,FK2436HCOS1AA371,FK2436HCOS1AA371,043a377ab91690000000,002E003C5830501620343353,NA,FEDEX#746390182310,2024-10-30 09:25:12,2024-10-05 08:53:00,2024-10-15 13:35:37,2024-10-30 09:20:07
BH-104282,88-0000861,HC4440030,PHC4440010,FEDEX#746390182310,COSMO,FK2436HCOS1AA152,FK2436HCOS1AA152,041f817ab91690000000,0051003F5830501620343353,NA,FEDEX#746390182310,2024-10-30 09:25:12,2024-10-05 14:48:03,2024-10-15 13:37:19,2024-10-30 09:20:07
BH-104282,88-0000861,HC4440030,PHC4440010,FEDEX#746390182310,COSMO,FK2436HCOS1AA110,FK2436HCOS1AA110,04c1627ab91690000000,002000445830501720343353,NA,FEDEX#746390182310,2024-10-30 09:25:12,2024-10-05 08:53:01,2024-10-15 13:45:38,2024-10-30 09:20:07
BH-104282,88-0000861,HC4440030,PHC4440010,FEDEX#746390182310,COSMO,FK2436HCOS1AA100,FK2436HCOS1AA100,045d377ab91690000000,003200435830501720343353,NA,FEDEX#746390182310,2024-10-30 09:25:12,2024-10-05 10:22:52,2024-10-15 13:34:01,2024-10-30 09:20:07
